FID,local_authority,uprn,address,url,opening_hours,facilities,sh_date_uploaded,sh_src,sh_src_id,la_s_code
pub_lib.1,Fife,320183055,"LINKS LIBRARY, 171, LINKS STREET, KIRKCALDY, KY1 1QR",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,27,S12000047
pub_lib.2,North Ayrshire,126013407,"NORTH AYRSHIRE HERITAGE CENTRE, MANSE STREET, SALTCOATS, KA21 5HB",https://www.north-ayrshire.gov.uk/libraries/libraries.aspx,"Monday-Friday 9.30 -1.00, 2.00 - 5.00, Saturday 10.00 - 1.00, 2.00 - 5.00.","Wifi, Collections of books, pamphlets, directories, maps, postcards, photographs, newspapers and an extensive archive collection all pertaining to Ayrshire and Scotland.",2025-02-03,5d8a7986-b7b8-43a1-8f23-7030bc4f430d,4,S12000021
pub_lib.3,City of Edinburgh,,"BALERNO LIBRARY, 1 MAIN STREET, EH14 7EQ",,Mon & Wed 1-8pm. Tues & Fri 10am - 5pm. Sat 10am-2pm,"Housebound delivery service, Induction LOOP, Free computer access, Free access of tablet for visually impaired, Computer/ tablet & phone classes, Book groups.",2025-02-03,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,1,S12000036
pub_lib.4,South Lanarkshire,,HAMILTON TOWN HOUSE LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,10,S12000029
pub_lib.5,South Ayrshire,141014779,"CARNEGIE LIBRARY, 12, MAIN STREET, AYR, KA8 8EB",,"09:00 - 17:00, 10:00 - 19:00, 09:00 - 17:00, 09:00 - 17:00, Closed, 09:00 - 17:00, 09:00 - 19:00",,2019-04-12,4828d846-4688-45b0-a07a-8eb3ff3a3f91,7,S12000028
pub_lib.6,Highland,130112959,"HELMSDALE LIBRARY AND SERVICE POINT, DUNROBIN STREET, HELMSDALE, KW8 6JX",,,,2020-08-20,1dbaeafe-93a0-4c2b-8f00-16eca444e2b8,27,S12000017
pub_lib.7,City of Edinburgh,,"CORSTORPHINE LIBRARY, 12 KIRK LOAN, EH12 7HD",,"Mon & Wed: 1 - 8pm. Tues, Thu & Fri: 10am - 5pm, Sat: 10am-5pm","Disabled access, Library Link, Housebound services, Induction LOOP.",2025-02-03,7c66fdf8-1eeb-4239-856d-e32f1a9a0297,6,S12000036
pub_lib.8,East Ayrshire,127065398,"STEWARTON AREA CENTRE, AVENUE STREET, STEWARTON, KA3 5AP",https://eastayrshireleisure.com/index.php?a=landing&id=6&mid=6,,,2021-04-01,9c9c483c-05e0-47d9-9d7a-0a129b103bae,9,S12000008
pub_lib.9,North Ayrshire,126059849,"WEST KILBRIDE LIBRARY, HALFWAY STREET, WEST KILBRIDE, KA23 9EQ",https://www.north-ayrshire.gov.uk/libraries/libraries.aspx,"Mon & Tues 10-1, 2-5pm; Weds Closed; Thurs 2-7; Fri 10-1, 2-4.30; Sat 10-12.30.","Wifi, Books, CDs, DVDs and talking books. , Request any of the above using the online library catalogue at home using your library card number., Adult Book group meets on Tuesdays each month at 10.30am., Author/storytelling visits, craft activities and community events for adults and children., Free computer and Internet access., Computer Buddy Scheme., Online reference resources e.g. Britannica and Scran from home using your library card number (P0000....), Free access to Grid Club website. , Past Papers., Homework Club meets every Friday at 3.45-4.45pm during term time., Other Facilities: public information screens; study area; exhibition space; disabled access; toilets and photocopying., Please contact library staff for more information on any of the above.",2025-02-03,5d8a7986-b7b8-43a1-8f23-7030bc4f430d,5,S12000021
pub_lib.10,South Lanarkshire,,CARLUKE LIBRARY,,,,2018-07-04,11dc1752-bda0-45ac-8f51-9879c919bd69,7,S12000029
pub_lib.11,North Lanarkshire,118039486,"ABRONHILL COMMUNITY LIBRARY, 17, PINE ROAD, ABRONHILL, CUMBERNAULD, G67 3BE",https://culturenl.co.uk/libraries/your-library/abronhill-library/,,,2025-02-03,90de9621-d8c3-4565-92da-efa06d7de6c5,13,S12000050
pub_lib.12,Argyll and Bute,,"ROSNEATH LIBRARY, ROSNEATH PRIMARY SCHOOL, ROSNEATH, G84 0RJ",http://www.liveargyll.co.uk/library/rosneath-library,,"Computers, Regular classes and events, Bookbug",2025-02-03,2d6b243e-75c0-47f2-9803-9957b55d5335,16,S12000035
pub_lib.13,Fife,320227700,"KINGHORN LIBRARY, ROSSLAND PLACE, KINGHORN, KY3 9SS",,,,2021-04-26,8bd9cbfa-cc81-474e-9190-a58581790b2b,9,S12000047
pub_lib.14,Argyll and Bute,,"TIREE LIBRARY, CORNAIG, ISLE OF TIREE, PA77 6XA",http://www.liveargyll.co.uk/library/tiree-library#overlay-context=libraries-archives-and-museums,,,2025-02-03,2d6b243e-75c0-47f2-9803-9957b55d5335,7,S12000035
pub_lib.15,North Ayrshire,126002116,"SKELMORLIE COMMUNITY CENTRE, SKELMORLIE CASTLE ROAD, SKELMORLIE, PA17 5AH",https://www.north-ayrshire.gov.uk/libraries/libraries.aspx,Tue 1pm-6.30pm; Thur 10.30am-4.00pm and Fri 1pm-5.00pm,"WIFI Books, CDs, DVDs and talking books. , Request any of the above using the online library catalogue at home using your library card number., Author/storytelling visits, craft activities and community events for adults and children., Free computer and Internet access., Computer Buddy Scheme., Online reference resources e.g. Britannica Online and Scran from home using your library card number (P0000....), Children's website - Book Sp@ce , Past Papers., Other Facilities: study area and photocopying., Please contact library staff for more information on any of the above.",2025-02-03,5d8a7986-b7b8-43a1-8f23-7030bc4f430d,11,S12000021
pub_lib.16,Dundee City,,"CENTRAL LIBRARY, THE WELLGATE, DUNDEE, DD1 1DB",/central-library-wellgate,,,2018-06-29,5ad3c706-b7b3-4490-b0f6-b7ceb95d96fb,10,S12000042
pub_lib.17,Argyll and Bute,,"TARBERT LIBRARY, HARBOUR STREET, TARBERT PA29 6UA",http://www.liveargyll.co.uk/library/tarbert-library,,"Computers, Regular classes and events, Bookbug",2025-02-03,2d6b243e-75c0-47f2-9803-9957b55d5335,17,S12000035
pub_lib.18,East Lothian,138062108,"DUNBAR LIBRARY, THE BLEACHINGFIELD CENTRE, COUNTESS CRESCENT, DUNBAR, EH42 1DX",,,,2023-12-18,1181a6a2-94a2-4bb4-b1dd-5ca34a3155ac,9,S12000010
pub_lib.19,Stirling,122035697,"LIBRARY, SOUTH CHURCH STREET, CALLANDER, FK17 8BN",,,,2025-02-03,2e6c38e3-1546-40ab-9cf6-f210d5ff1003,12,S12000030
pub_lib.20,Highland,130103130,"HIGH LIFE HIGHLAND, THURSO LIBRARY, DAVIDSONS LANE, THURSO, KW14 7AF",,,,2020-08-20,1dbaeafe-93a0-4c2b-8f00-16eca444e2b8,46,S12000017
